French,English
阿姨,āyí | aunt
坏,huài | bad
还,huán | still
环境,huánjìng | environment
换,huàn | change
黄,huáng | yellow
会议,huìyì | meeting
或者,huòzhě | perhaps
几乎,jīhū | almost
机会,jīhuì | opportunity
极,jí | extremely
记得,jìde | remember
季节,jìjié | season
检查,jiǎnchá | inspect
简单,jiǎndān | simple
健康,jiànkāng | healthy
见面,jiànmiàn | meet
讲,jiǎng | speak
教,jiāo | teach
角,jiǎo | horn
脚,jiǎo | foot
接,jiē | meet
街道,jiēdào | street
结婚,jiéhūn | marry
结束,jiéshù | end
节目,jiémù | program
节日,jiérì | festival
解决,jiějué | solve
借,jiè | borrow
经常,jīngcháng | often
经过,jīngguò | after
经理,jīnglǐ | manager
久,jiǔ | long
旧,jiù | used
举行,jǔxíng | hold
句子,jùzi | sentence
决定,juédìng | decision
渴,kě | thirsty
可爱,kě’ài | lovely
刻,kè | moment
客人,kèrén | guest
空调,kōngtiáo | air conditioner
口,kǒu | mouth
哭,kū | cry
裤子,kùzi | trousers
筷子,kuàizi | chopsticks
蓝,lán | blue
老,lǎo | old
离开,líkāi | leave
礼物,lǐwù | gift
历史,lìshǐ | history
脸,liǎn | face
练习,liànxí | practice
辆,liàng | car
了解,liǎojiě | understand
邻居,línjū | neighbor
楼,lóu | floor
绿,lǜ | green
马,mǎ | horse
马上,mǎshàng | soon; right off
卖,mài | sell
满意,mǎnyì | satisfied
帽子,màozi | hat
米,mǐ | rice
面包,miànbāo | bread
面条,miàntiáo | noodle
明白,míngbai | clear
拿,ná | take
哪 （哪儿）,nǎ(nǎr) | which (where)
那 （那儿）,nà(nàr) | that (there)
奶奶,nǎinai | grandma
南,nán | south
难,nán | disaster; blame
难过,nánguò | to feel sorry
年级,niánjí | grade
年轻,niánqīng | young
鸟,niǎo | bird
努力,"nǔlì | strive, hard working"
爬山,páshān | mountain climbing
盘子,pánzi | plate
胖,pàng | fat
啤酒,píjiǔ | beer
葡萄,pútao | grape
普通话,pǔtōnghuà | Mandarin
其实,qíshí | actually
其他,qítā | other
骑,qí | ride
奇怪,qíguài | strange
铅笔,qiānbǐ | pencil
清楚,qīngchu | clear
秋,qiū | autumn
裙子,qúnzi | skirt
然后,ránhòu | then
热情,rèqíng | enthusiasm
认为,rènwéi | think
认真,rènzhēn | earnest
容易,róngyì | easily
如果,rúguǒ | if
伞,sǎn | umbrella
上网,shàngwǎng | surf the Internet
生气,shēngqì | get angry
声音,shēngyīn | voice
使,shǐ | send
世界,shìjiè | world
瘦,shòu | thin
舒服,shūfu | comfortable
叔叔,shūshu | uncle
树,shù | tree
数学,shùxué | mathematics
刷牙,shuāyá | brush one’s teeth
双,shuāng | double
水果,shuǐguǒ | fruit
水平,shuǐpíng | level
司机,sījī | driver
虽然,suīrán | although
太阳,tàiyáng | sunlight
糖,táng | sugar
特别,tèbié | especially
疼,"téng | pain, hurt"
提高,tígāo | increase
体育,tǐyù | sports
甜,tián | sweet
条,tiáo | strip
听,tīng | hear
同事,tóngshì | colleague
同意,tóngyì | agree
头发,tóufa | hair
突然,tūrán | suddenly
图书馆,túshūguǎn | library
腿,tuǐ | leg
完成,wánchéng | complete
碗,wǎn | bowl
万,wàn | ten thousand
忘记,wàngjì | forget
为,wèi | by
为了,wèile | in order to
位,wèi | position
文化,wénhuà | culture
西,xī | west
习惯,xíguàn | habit
洗手间,xǐshǒujiān | restroom
洗澡,xǐzǎo | take a shower
夏,xià | summer
先,xiān | before
香蕉,xiāngjiāo | banana
相同,xiāngtóng | identical
相信,xiāngxìn | believe
像,xiàng | image
小心,xiǎoxīn | look out
校长,xiàozhǎng | principal
鞋,xié | shoes
新闻,xīnwén | news
新鲜,xīnxiān | fresh
信,xìn | letter
行李箱,xínglixiāng | trunk
兴趣,xìngqù | interest
熊猫,xióngmāo | panda
需要,xūyào | need
选择,xuǎnzé | choice
眼镜,yǎnjìng | glasses
要求,yāoqiú | requirement
爷爷,yéye | grandpa
一定,yídìng | certain
一共,yígòng | altogether
一会儿,yíhuìr | a little while
一样,yíyàng | equally
以后,yǐhòu | In the future
以前,yǐqián | before
以为,yǐwéi | think
一般,yìbān | commonly
一边,yìbiān | one side
一直,yìzhí | always
音乐,yīnyuè | music
银行,yínháng | bank
应该,yīnggāi | should
影响,yǐngxiǎng | influence
用,yòng | use
游戏,yóuxì | game
有名,yǒumíng | famous
又,yòu | also
遇到,yùdào | encounter
愿意,yuànyì | be willing
月亮,yuèliang | moon
越,yuè | the more…
云,yún | cloud
站,zhàn | station
照顾,zhàogù | look after
照片,zhàopiàn | photo
照相机,zhàoxiàngjī | camera
这 （这儿）,zhè(zhèr) | here (here)
只,zhǐ | only
中间,zhōngjiān | middle
终于,zhōngyú | finally
种,zhǒng | species
重要,zhòngyào | important
周末,zhōumò | weekend
主要,zhǔyào | main
祝,zhù | wish
注意,zhùyì | pay attention to
字典,zìdiǎn | dictionary
自己,zìjǐ | my own; your own
总是,zǒngshì | always
最近,zuìjìn | lately
作业,zuòyè | task
作用,zuòyòng | effect
